plate,well_folder,compound,dose,dead120,dead24,area_out_lat,area_heart,area_yolk,area_ov,area_eyes,area_out_dor,length_out_lat,length_heart,length_yolk,length_ov,length_eyes,length_out_dor,bodycurvature,yolkedema,necrosis,tailbending,notochorddefects,finabsence,craniofacialedema,scoliosis,snoutjawdefects
20190918_1975_CS_R3,Well_A01,DMSO,0.5,0,0,41759.0,856.0,2146.0,3290.0,4968.0,36872.0,738,170,119,172,72,691,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_A02,DMSO,0.5,0,0,41541.0,1038.0,1435.0,1934.0,5282.0,34304.0,672,49,126,49,73,714,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_A03,DMSO,0.5,0,0,41423.0,1170.0,1816.0,1988.0,5321.0,34129.0,665,55,144,50,70,699,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_A04,DMSO,0.5,0,0,43686.0,1190.0,1706.0,2067.0,5470.0,35464.0,686,54,122,51,67,721,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_A05,DMSO,0.5,0,0,40338.0,1074.0,1463.0,1950.0,5070.0,33658.0,653,50,158,48,64,690,False,False,False,True,False,False,False,True,False
20190918_1975_CS_R3,Well_A06,DMSO,0.5,0,0,43108.0,942.0,1471.0,1866.0,5322.0,35255.0,674,44,182,47,70,706,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_A07,DMSO,0.5,0,0,41584.0,1022.0,1221.0,1818.0,5324.0,35590.0,671,44,102,47,79,701,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_A08,DMSO,0.5,0,0,42224.0,1084.0,1386.0,1910.0,5160.0,33973.0,681,47,125,47,70,712,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_A09,DMSO,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20190918_1975_CS_R3,Well_A10,DMSO,0.5,0,0,41214.0,1000.0,1475.0,1844.0,5325.0,33472.0,654,49,132,47,71,683,False,False,False,False,False,False,False,True,False
20190918_1975_CS_R3,Well_A11,DMSO,0.5,0,0,41624.0,1176.0,1465.0,1948.0,5127.0,34408.0,673,55,131,48,69,706,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_A12,"3,4-DCA",50.0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20190918_1975_CS_R3,Well_B01,1975,100.0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20190918_1975_CS_R3,Well_B02,1975,100.0,0,0,41196.0,1267.0,2205.0,1757.0,4272.0,33911.0,645,56,106,46,63,677,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_B03,1975,100.0,0,0,43415.0,1441.0,2047.0,1868.0,4853.0,35242.0,681,56,126,48,68,714,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_B04,1975,100.0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20190918_1975_CS_R3,Well_B05,1975,100.0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20190918_1975_CS_R3,Well_B06,1975,100.0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20190918_1975_CS_R3,Well_B07,1975,100.0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20190918_1975_CS_R3,Well_B08,1975,100.0,0,0,23204.0,0.0,2805.0,3614.0,0.0,2390.0,392,0,213,149,0,377,True,True,True,True,False,True,False,True,True
20190918_1975_CS_R3,Well_B09,1975,100.0,0,0,43672.0,880.0,4190.0,1725.0,4356.0,32864.0,720,42,207,46,63,670,True,False,False,True,False,False,False,True,False
20190918_1975_CS_R3,Well_B10,1975,100.0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20190918_1975_CS_R3,Well_B11,1975,100.0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20190918_1975_CS_R3,Well_B12,"3,4-DCA",25.0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20190918_1975_CS_R3,Well_C01,1975,30.01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20190918_1975_CS_R3,Well_C02,1975,30.01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20190918_1975_CS_R3,Well_C03,1975,30.01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20190918_1975_CS_R3,Well_C04,1975,30.01,0,0,39839.0,913.0,1634.0,1719.0,4756.0,34868.0,661,42,117,45,72,694,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_C05,1975,30.01,0,0,42946.0,1251.0,1928.0,1983.0,5187.0,36285.0,670,55,126,48,66,704,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_C06,1975,30.01,0,0,42436.0,1063.0,1660.0,1947.0,5067.0,34383.0,667,47,177,49,64,704,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_C07,1975,30.01,0,0,42462.0,1035.0,3696.0,1930.0,5091.0,34582.0,663,46,174,48,63,692,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_C08,1975,30.01,0,0,41743.0,827.0,1195.0,1984.0,5218.0,33898.0,670,44,99,50,70,693,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_C09,1975,30.01,0,0,43565.0,1302.0,3347.0,1911.0,5034.0,36546.0,666,55,157,48,68,699,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_C10,1975,30.01,0,0,44355.0,852.0,2054.0,1989.0,5042.0,36067.0,685,40,174,49,70,712,False,False,False,False,False,False,False,False,False
20190918_1975_CS_R3,Well_C11,1975,30.01,0,0,42194.0,981.0,1753.0,1828.0,4846.0,34763.0,658,45,184,47,63,693,False,False,False,False,False,False,False,True,False
